Source,Target,Type,Avg Date,Start Date,End Date,Transcription,Book Certainty,Date Certainty,Person Certainty
Robert Bowyer,Faustina AIII,Undirected,1621,1621,1621,"Robert Bowyer, 1621 (2.50: (1) this or (2) Tit. A-VIII)",False,True,True
William Camden,Domitian I,Undirected,1606,1606,1606,"William Camden, 1606 (10.11: this, Vesp. A.II or B.XXV. Cf. Jul. C.IH, fol. 65)",False,True,True
John Speed,Titus DXII,Undirected,1612,1611,1613,Speed,True,True,True
John Selden,Vitellius EV,Undirected,1638,1638,1638,John Selden,False,True,True
William Watts,Otho BV,Undirected,1640,,1640,"William Watts, by 1640 (see the preface to his edition of Matthew Paris, Historia major (London, 1640), for which the manu- script was used).",True,True,True
Robert Cecil|William Cecil,Galba CX,Undirected,1618,1618,1618,Robert,True,False,False
Henry Montagu,Vespasian FIX,Undirected,1631,,1631,"? Montagu, by 1631 (120.6: ? fols 175-78v, art 32, of this, but see the note accompanying the previous entry)",True,True,False
Ralph Starkey,Julius BIX,Undirected,1621,1621,1622,"Ralph Starkey, 1621-22 (2.111).",True,True,True
William Watts,Vitellius AXIII,Undirected,1640,1640,1640,William Watts,False,True,True
John Selden,Nero DVI,Undirected,1638,1637,1639,"John Selden, ¢.1638 (163.5: ? this or ? Vit. C.IV)",False,True,True
John Speed,Vitellius DII,Undirected,1616,1615,1617,"John Speed, ¢.1612 and c.1616 (50.7, 134.7)",True,True,True
Basil Brooke,Cleopatra EI,Undirected,1631,,1631,Basil Brooke,False,True,True
Arthur Agarde,Faustina BIII,Undirected,1613,1612,1615,"Agarde, 1612-15 (71.18)",True,True,True
William Le Neve,Claudius DIII,Undirected,1641,1641,1641,"William Le Neve, 1641 (217.2).",True,True,True
Thomas Howard,Vitellius CXI,Undirected,1621,1621,1621,Thomas Howard,False,True,True
Simonds D’Ewes,Claudius EIII,Undirected,1626,1626,1626,Simonds D’Ewes,True,True,True
Henry Williamson,Otho EIV,Undirected,1611,,1611,"Henry Williamson, by 1611 (54.1)",True,True,True
Ralph Winwood|Mr Waight,Vespasian CXIII,Undirected,1621,1621,1622,"(of papers now in this manuscript) Ralph Winwood, c.1616 (105.2)",True,True,True
King Charles II,Nero DVI,Undirected,1660,1660,1660,"King Charles II, 1660, by hand of John Ball (fol. 1v).",True,True,True
Henry Spelman,Titus AXVI,Undirected,1615,1614,1616,Henry Spelman,True,True,True
John Selden,Tiberius CIII,Undirected,1638,1638,1638,"John Selden, 1638 (155.3: this, Jul. B.XIII, Tib. B.XIII, Nero D.VIII, Vit. C.X, EV, VII, Dom. I, V, Cleo. D.V or Faust. C.IV)",False,True,True
Richard Bancroft,Nero DI,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.7)",True,True,True
John Selden,Nero DI,Undirected,1622,1622,1622,John Selden,True,True,True
Arthur Agarde,Faustina BIII,Undirected,1612,1612,1612,Arthur Agarde,False,True,True
James Ussher,Tiberius AXV,Undirected,1640,1640,1640,James Ussher,False,True,True
John Selden,Caligula AIV,Undirected,unknown date,,,"John Selden (6018, no. 249)",True,True,True
St Lo Kniveton,Titus BXII,Undirected,1615,,1615,St Lo Kniveton,True,True,True
John Lambe|Fronton du Duc,Otho AXVII,Undirected,1612,,1612,John Lambe,False,True,True
John Selden,Tiberius CXIII,Undirected,1615,1615,1615,Selden,True,True,True
James Ussher,Vitellius CVIII,Undirected,1641,1641,1641,"? James Ussher, 1641 (221.1)",True,True,False
William Dugdale,Vitellius DXVIII,Undirected,1639,1639,1639,"William Dugdale, 1639 (178.1).",True,True,True
Arthur Agarde,Otho BXIV,Undirected,1613,1612,1615,"Agarde, 1612-15 (71.2, 77.5, not necessarily a duplicate of loan 18.17)",True,True,True
Ralph Starkey,Vitellius DXX,Undirected,1622,1622,1622,Ralph Starkey,True,True,True
John Selden,Otho BXIII,Undirected,1653,1653,1653,"Selden, 1653 (237.3).",True,True,True
Arthur Agarde,Titus AVIII,Undirected,1613,1612,1615,"Agarde, 1612-15 (18.15, 71.6: (2) this or (1) Faust. A.IID)",False,True,True
John Selden|Ralph Starkey,London British Library Additional MS 46410,Undirected,1621,1621,1622,Selden,True,True,True
Inigo Jones,Titus AXVII,Undirected,1631,,1631,Inigo Jones,True,True,True
James I,Cleopatra EI,Undirected,1616,1615,1617,"(? of fol. 213, art. 54) ? James I, c.1615-17 (93.4: ? this)",True,True,False
Arthur Agarde,Tiberius EVI,Undirected,1613,1612,1615,"Agarde, 1612-15 (18.9, 71.5: this or Otho D.III)",False,True,True
Arthur Agarde,Titus DXII,Undirected,1611,1611,,Arthur Agarde or John Speed,True,True,False
Thomas Cannon,Vitellius CIX,Undirected,1631,,1631,"Cannon, by 1631 (113.23: ? this)",True,True,True
George Buc,Titus CVI,Undirected,1616,1615,1617,"(of fols 429, 433, artt. 13, 14) George Buc, ¢.1615-17 (91.1)",True,True,True
Percy Herbert,Caligula AXII,Undirected,1661,1661,1662,"Perey Herbert, by the hand of Knasbrough and Vaughan, 1661/2 (267.1).",True,True,True
Robert Cecil,Caligula DVI,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, ¢.1605-12 (12.1)",True,True,True
William Camden,Vespasian AII,Undirected,1606,1606,1606,William Camden,False,True,True
William Le Neve,Otho EI,Undirected,1641,1641,1641,William Le Neve,True,True,True
Henry Montagu,London British Library Additional MS 46410,Undirected,1640,1640,1640,"Henry Montagu, 1640 (207.1).",True,True,True
Guillim,Claudius CIV,Undirected,1613,1612,1615,Guillim,True,True,True
John Barkham,Vitellius DII,Undirected,1612,1611,1613,John Barkham,True,True,True
Henry Montagu,Cleopatra FIII,Undirected,1631,,1631,"Henry Montagu, by 1631 (113.7)",True,True,True
John Borough,Titus CI,Undirected,1621,1621,1621,"John Borough, 1621 (2.74)",True,True,True
Thomas Wilson,Vitellius CXI,Undirected,1613,1612,1614,"(? of fols 142-43, in art. 12) Thomas Wilson, ¢.1613 (35.5",True,True,True
James I,Cleopatra EI,Undirected,1616,1615,1617,"(? of fols 155-56, art. 39) ? James I, c.1615-17 (93.5: ? this)",True,True,False
Francis Junius,Tiberius B1,Undirected,1658,1658,1658,Francis Junius,True,True,True
Dudley Carleton,Titus BXII,Undirected,1631,,1631,"Dudley Carleton, by 1631 (113.2: this or Tit. B.XIID).",False,True,True
Edward Herbert,Otho CX,Undirected,1636,1636,1636,Edward Herbert,False,True,True
Jaspar Gryffyth,Vespasian EXI,Undirected,1611,1610,1612,Jaspar Gryffyth,True,True,True
George Allington,Julius CIX,Undirected,1611,,1611,"(? of fols 25-77, artt. 6-7) George Allington, by 1611 (58.2, 60.4)",True,True,True
Hart,Julius CII,Undirected,1617,,1617,"(of at least fols 1-18v, art. 1) Hart, by 1617 (111.3)",True,True,True
Richard Bancroft,Vitellius EIV,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (29.20: this, Tib. A.IX or Vit. D-X1).",False,True,True
Henry Spelman,Titus AXV,Undirected,1615,1614,1616,Henry Spelman,True,True,True
John Selden,Cleopatra FI,Undirected,1640,1640,1640,John Selden,False,True,True
Richard Bancroft,Otho EV,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
William Camden,Titus BXII,Undirected,1606,1606,1606,"William Camden, 1606 (10.6)",True,True,True
Thomas Coventry|John Borough,Titus EII,Undirected,1621,1621,1621,Thomas Coventry,True,True,True
Thomas Wilson,Caligula EX,Undirected,1613,1612,1614,"Thomas Wilson, ¢.1613 (35.1: ? parts of this, Calig. E.VIII and IX)",True,True,True
Henry Montagu,Otho EX,Undirected,1621,1621,1621,Henry Montagu,True,True,True
John Selden,Caligula AXV,Undirected,1639,1639,1639,"John Selden, 1639 (187.1)",True,True,True
Francis Tate|William Camden,Vespasian AXIV,Undirected,1612,,1612,"(of fols 1-105, artt. 1-4, + ? fols 106-13, artt. 5-8) Francis Tate, by 1612, and William Camden (22.3)",True,True,True
James Ussher|Robert Cecil,Galba EIV,Undirected,1641,1641,1641,"James Ussher, 1641 (219.1). Although Galba E.III is the pressmark cited in 219.1, the description there given of the manu- script fits E.TV much more closely.",True,True,True
Bulstrode Whitelocke,Galba CII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.12)",True,True,True
Henry Montagu,Otho EXI,Undirected,1631,,1631,Henry Montagu,True,True,True
John Selden,Vitellius DXVII,Undirected,1641,1641,1641,"John Selden, 1641 (225.4: ? this).",True,True,True
Augustine Vincent|St Lo Kniveton,Faustina EIX,Undirected,1611,1611,,"Augustine Vincent, St Lo Kniveton, 1611 + (66.2: ? fols 56-96v of this).",True,True,True
George Buc,Otho BV,Undirected,1616,1616,1616,"George Buc, 1616 (102.2)",True,True,True
Richard Gascoigne,Julius DI,Undirected,1623,1623,1623,"Used by Richard Gascoigne, 1623 (fol. Iv), who has annotated fols 7, 19, 26, 5iv, etc. His use, presumably a loan, may well account for the two entries in 6018.",True,True,True
James Ussher,Otho AXII,Undirected,1640,1640,1640,"James Ussher, 1640 (200.1).",True,True,True
Mr [ Bartholomew] Cotton of the Exchequer,Nero CX,Undirected,1625,1625,,"‘Mr [? Bartholomew] Cotton of the Exchequer’, after 1621 and probably not earlier than 1625 (80.1).",True,True,True
Peter Balle,Vitellius BI,Undirected,1640,1640,1640,Peter Balle,True,True,True
James Ussher,Vespasian DXV,Undirected,1621,1621,1621,"James Ussher, 1621 (2.9",True,True,True
St Lo Kniveton,Titus BIX,Undirected,1617,,1617,"St Lo Kniveton, by 1617 (111.31).",True,True,True
Thomas Wilson,Vespasian FVI,Undirected,1621,1621,1621,Wilson,False,True,True
Henry Howard,Caligula BIV,Undirected,1604,1604,,Henry Howard,False,True,True
Francis Tate,Tiberius AXIII,Undirected,1617,,1617,Tate,True,True,True
Augustine Lindsell,Nero AV,Undirected,1621,1621,1621,"Augustine Lindsell, 1621 (2.35: (1) this or (2) Tit. D.X1).",False,True,True
Thomas Wilson,Caligula EVIII,Undirected,1613,1612,1614,Thomas Wilson,False,True,True
Henry Spelman,Titus AXXVII,Undirected,1617,1617,1617,"Spelman, 1617 (99.1: this or Claud. D.II).",False,True,True
Henry Montagu,Titus CI,Undirected,1604,1604,,"Henry Montagu, after Christmas 1604 (129.8: this and / or Faust. E.V)",False,True,True
John Selden,Caligula EII,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)",True,True,True
Arthur Agarde,Faustina BII,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (18.13, 71.16, 77.15)",True,True,True
Robert Bertie,Tiberius EVIII,Undirected,1626,1626,,"Robert Bertie, after 1626 (6018, no. 392)",True,True,True
Francis Bacon,Julius EII,Undirected,1613,,1613,"? Francis Bacon, ? by 1613 (23.3: ? this or ? Vesp. A.XIII).",True,False,False
Richard Bancroft|George Abbot,Cleopatra EI,Undirected,1611,1610,1612,"Bancroft or George Abbot, 1610-12, via Hart (131.1: this, Cleo. E.II, III, F.I or ID)",False,True,False
Patrick Young,Tiberius CVI,Undirected,1616,1615,1617,Patrick Young,False,True,True
Henry Howard,Caligula CII,Undirected,1604,1604,,Henry Howard,False,True,True
Lord William Howard|Nicholas Roscarrock,Tiberius EI,Undirected,1611,1607,1616,Lord William Howard,False,True,True
William Camden,Nero CV,Undirected,1606,1606,1606,"William Camden, 1606 (10.10: fols 3-161, artt. 1-4, only)",True,True,True
Henry Bourchier,Caligula EXI,Undirected,1654,1653,1655,Henry Bourchier,False,True,True
John Selden,Titus EV,Undirected,1640,1640,1640,"John Selden, 1640 (209.15: this or Tit. E.VID.",False,True,True
John Selden,Titus F II,Undirected,1641,1641,1641,"John Selden, 1641 (211.2).",True,True,True
James Ussher,Julius DIII,Undirected,1634,1633,1635,"James Ussher (or William Laud or George Abbot), ? ¢.1634 (135.1",False,True,False
John Harington,Augustus I.II31,Undirected,1611,1610,1612,John Harington,True,True,True
John Selden,Galba BII,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I-XII)",True,True,True
John Selden,Caligula DVIII,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)",True,True,True
William Camden,Cleopatra AII,Undirected,1606,1606,1606,William Camden,True,True,True
Thomas Allen,Cleopatra AII,Undirected,1614,1612,1616,"William Camden, 1606, and Thomas Allen, to 1612-16 (10.8, 75.1)",True,True,True
Dudley Carleton,Nero BII,Undirected,1631,,1631,Dudley Carleton,True,True,True
Henry Montagu,Cleopatra FVI,Undirected,1631,,1631,? Montagu,True,True,False
Thomas Coventry|John Borough,Titus EIV,Undirected,1621,1621,1621,Thomas Coventry,True,True,True
‘Mr Randall’|‘Mr Attorney’ Hobart,Titus FIV,Undirected,1613,,1613,"(of Harl. MS 6850, fols 35-63 + perhaps parts of fols 63-85y, art. 10, of this) ‘Mr Randall’ and ‘Mr Attorney’ Hobart, by 1612-13 (27.2)",True,True,True
Christopher Hatton,Claudius CVIII,Undirected,1638,1638,1638,"Christopher Hatton, 1638, via William Dugdale (176.1).",True,True,True
John Selden,Titus EXIV,Undirected,1640,1639,1641,John Selden,True,True,True
John Selden,Claudius DVIII,Undirected,1641,1641,1641,John Selden,True,True,True
Elias Ashmole,Claudius BVII,Undirected,1672,1672,1673,Elias Ashmole,True,True,True
John Selden,Otho AXVI,Undirected,unknown date,,,"John Selden (36682, fol. 135v).",True,True,True
Lord William Howard|Basil Brooke,Nero BVI,Undirected,1621,1621,1621,"(? of fols 15-18, art. 9) Lord William Howard and Basil Brooke, 1621 (2.98, although this article is not an original, as specified in the loan).",True,True,True
Lord William Howard|Nicholas Roscarrock,Domitian XV,Undirected,1607,1607,,Lord William Howard,False,True,True
Henry Bourchier,Cleopatra FVI,Undirected,1621,1621,1621,Henry Bourchier,True,True,True
Bulstrode Whitelocke,Galba DXII,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
John Selden,Caligula EIV,Undirected,1621,1621,1621,(? distributed in Calig. D.VI-E.IV),True,True,True
Roger Owen,Nero DVI,Undirected,1611,1611,,"Roger Owen,",True,True,True
Jarvis Bradgate,Nero DX,Undirected,1640,1640,1640,Jarvis Bradgate,True,True,True
Mr Jonston,Titus BXIII,Undirected,1615,1615,1616,"‘Mr Jonston’, ¢.1615-16 (95.1: this or Tit. B.XII)",False,True,True
John Williams,Nero EI,Undirected,1611,1610,1612,John Williams,False,True,True
Henry Bourchier,Vespasian CXIII,Undirected,1654,1653,1655,"unnamed borrower, possibly Henry Bourchier, ¢.1654 (251)",True,True,False
John Lambe|Henry Hickman,Oxford Queens College MS 54,Undirected,1613,1612,1615,John Lambe,True,True,True
Clement Edmunds,Cleopatra FIV,Undirected,1621,1621,1621,"Clement Edmunds, 1621 (2.26).",True,True,True
John Speed,Cleopatra EIV,Undirected,unknown date,,,"(of fols 374-445v, art. 195) John Speed (Smith, Catalogue, ‘History and Synopsis’ p. 53. The annotation on fol. 442v is probably by Speed.)",True,True,True
Basil Brooke,Cleopatra FI,Undirected,1631,,1631,"Basil Brooke, by 1631 (113.27: this, Cleo. E.I-III or F.1D)",False,True,True
"Samuel Roper, senior",Otho BXIV,Undirected,1638,1638,1638,"Samuel Roper, senior",True,True,True
Robert Bowyer,Otho CI,Undirected,1613,1612,1614,Robert Bowyer,True,True,True
Bulstrode Whitelocke,Galba CV,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.15).",True,True,True
Thomas Howard,Vespasian AXIII,Undirected,1631,,1631,"Thomas Howard, earl of Arundel",True,True,True
Henry Montagu,Otho EX,Undirected,1631,,1631,"? Montagu, by 1631 (120.2: ? this)",True,True,True
John Selden,Titus EI,Undirected,1640,1639,1641,John Selden,False,True,True
Bulstrode Whitelocke,Galba DII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.23).",True,True,True
Thomas Wilson,Vitellius CXI,Undirected,1619,1617,1621,"Wilson, 1617, 1621 (111.21, 2.101: ? fols 193-210, art. 18, fols 368-71, art. 26, of this, and / or parts of Jul. F.V1, Vit. C_XVI, Vesp. F.VI)",False,True,True
Sir Thomas Cotton's ‘cosen’,Cleopatra BIX,Undirected,1655,1655,1656,Sir Thomas Cotton's ‘cosen’,True,True,True
Arthur Capell,Titus EXVI,Undirected,1666,1666,1667,"Arthur Capell, via Philip Briggs, 1666/7 (269.2).",True,True,True
William Dugdale,Vitellius CIII,Undirected,1653,1653,1653,William Dugdale,True,True,True
Clement Edmunds,Cleopatra FV,Undirected,1621,1621,1621,"Clement Edmunds, 1621 (2.27).",True,True,True
George Buc,Claudius EIII,Undirected,1616,1616,1616,George Buc,False,True,True
Patrick Young,Nero CV,Undirected,1616,1615,1617,Patrick Young,True,True,True
Henry Elsyng,Otho BXIII,Undirected,1626,1626,1626,Henry Elsyng,True,True,True
Robert Bowyer,Cleopatra FII,Undirected,1621,1621,1621,"Robert Bowyer, ¢.1612 (13.9, 36.11: ? this), 1621 (2.45: ? this)",True,True,True
Bulstrode Whitelocke,Galba DIII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.24).",True,True,True
Thomas or Samuel Roper,Vitellius DXVIII,Undirected,1638,1637,1639,"Thomas or Samuel Roper, c.1638 (160: this or Vit. A.1)",False,True,False
John Selden,Domitian V,Undirected,1638,1638,1638,John Selden,False,True,True
John Selden,Vespasian AXVIII,Undirected,1621,1621,1621,"John Selden, 1621 (2.72)",True,True,True
Arthur Agarde,Otho CVIII,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (71.35)",True,True,True
James Ussher,Tiberius CVII,Undirected,1611,1610,1612,"James Ussher, ¢.1610-12 (41.7: (2) this or (1) Claud. E.III",False,True,True
John Selden,Galba BXI,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I- XII).",True,True,True
George Carew,Caligula DIX,Undirected,1604,1604,,"George Carew (d. 1612), after Christmas 1604 (129.15: ? parts of this: Cotton has noted fol. 172, art. 39, as relating to the release of Francis I from imprisonment)",True,True,True
John Selden,Caligula AIV,Undirected,1640,1639,1641,Selden,True,True,True
Edward Coke,Cleopatra CVII,Undirected,1638,1638,1638,Edward Co< >,True,True,True
Francis Bacon,Julius EIII,Undirected,1613,,1613,"? Francis Bacon, ? by 1613 (23.5)",True,False,False
William Dugdale,Claudius EIII,Undirected,1639,1639,1639,William Dugdale,False,True,True
Richard Bancroft,Appendix L,Undirected,1609,1609,1609,Richard Bancroft,True,True,True
Arthur Agarde,Vitellius DXV,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
John Bradshaw,Julius DII,Undirected,1621,1621,1621,John Bradshaw,True,True,True
George Carew,Faustina EI,Undirected,unknown date,,,George Carew,False,True,True
James Ussher,Cleopatra BXIII,Undirected,1611,,1611,"(of at least fols 1-89, artt. 1-12) James Ussher, by 1611 (59.1).",True,True,True
Francis Bacon,Julius CII,Undirected,1613,,1613,"(of at least fols 42-80, artt. 5-16) ? Francis Bacon, ? by 1613 (23.4: (1) this or (2) Nero A.D)",False,False,False
John Selden,Nero CVIII,Undirected,1639,1639,1639,John Selden,True,True,True
Francis Tate,Vespasian EXI,Undirected,1617,,1617,"Tate, before 1617 (111.11)",True,True,True
John Bernard,Faustina BIII,Undirected,1658,1658,1658,John Bernard,True,True,True
Thomas Shirley,Claudius CIII,Undirected,1662,1661,1663,Shirley,True,True,True
Francis Tate,Claudius BIV,Undirected,1612,,1612,Francis Tate,False,True,True
John Harington,Augustus I.II35,Undirected,1611,1610,1612,John Harington,True,True,True
Thomas Brudenell,Cleopatra CX,Undirected,1627,1627,1627,"(of fols 71-100, art. 4, of this or Tib. A.V) Thomas Brudenell, 1627 (Vesp. F.XTII, no. 329)",False,True,True
Arthur Agarde,Vespasian AXVIII,Undirected,1613,1612,1615,Arthur Agarde,False,True,True
Henry Spelman,Julius AII,Undirected,1615,1614,1616,Henry Spelman,True,True,True
Henry Montagu,Otho EXI,Undirected,1631,,1631,"? Montagu, by 1631 (120.7)",True,True,True
John Selden,Galba BX,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I-XI1)",True,True,True
Francis Tate,Tiberius EVIII,Undirected,1612,,1612,"Francis Tate, by 1612 (22.1: ? fols 43v-63y, art. 15 of this)",True,True,True
William Le Neve,Faustina AIX,Undirected,1641,1641,1641,William Le Neve,True,True,True
,Tiberius AXIII,Undirected,1616,,1616,"Henry Spelman, 1616 or before (111.10)",True,True,True
Lord William Howard,Titus EVII,Undirected,1640,1640,1640,Sir William Howard,False,True,True
Richard Bancroft|George Abbot,Cleopatra EIII,Undirected,1611,1610,1612,Bancroft,False,True,True
Richard Bancroft,Tiberius AX,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (29.16, 29.18)",True,True,True
Arthur Agarde,Vespasian AXVIII,Undirected,1613,1612,1615,"Agarde, 1612-15 (71.29, not necessarily the same manuscript as in 18.17)",True,True,True
William Dugdale,Vitellius CIX,Undirected,1660,1660,1660,William Dugdale,True,True,True
John Selden,Claudius EIV,Undirected,1638,1638,1638,Selden,True,True,True
William Watts,Vitellius AVI,Undirected,1640,1640,1640,"William Watts, 1640 (206.2).",True,True,True
Henry Montagu,London Society Of Antiquaries MS 116,Undirected,1621,1621,1621,"Henry Montagu, 1621 (2.25: ? this).",True,True,True
John Selden,Faustina CIV,Undirected,1638,1638,1638,"John Selden, 1638 (155.3: this, Jul. B-XIII, Tib. B.XII, C.III, Nero D-VIII, Vit. CX, EV, VII, Dom. I, V or Cleo. D.V).",False,True,True
Edward Dering,Cambridge University Library Additional MS 3578,Undirected,unknown date,,,Edward Dering (noted against 6018 entry),True,True,True
John Williams,Cleopatra BV,Undirected,1611,1610,1612,John Williams,True,True,True
unidentified borrower|Mr Husser|Mr Sargent Barker|James Ussher,Otho BIII,Undirected,1611,,1611,"unidentified borrower, ‘Mr Husser, ‘Mr Sargent Barker’ and James Ussher, by 1611 (57.1).",True,True,True
William Camden,Vitellius DXIII,Undirected,1623,,1623,William Camden,False,True,True
William Noy,Cleopatra FII,Undirected,1628,,1628,"William Noy, by 1628 (Jul. C.II, fol. 285: this or Cleo. F.1)",False,True,True
James Ussher,Nero CV,Undirected,1629,1628,1630,"‘my-lord of Armach’, undoubtedly James Ussher, ¢.1629 (6018, no. 210",True,True,True
John Speed,Otho DVIII,Undirected,1612,1611,1613,John Speed,False,True,True
James I,Cleopatra EI,Undirected,1616,1615,1617,"(? of fols 183-87, art. 41) ? James I, ¢.1615-17 (93.3: ? this)",True,True,False
Francis Tate,Vespasian DXXI,Undirected,1617,,1617,"(of at least the same folios) Tate, before 1617 (111.7)",True,True,True
Ralph Winwood,Vespasian CXII,Undirected,1616,1615,1617,Ralph Winwood,True,True,True
Richard Bancroft,Vespasian BXIX,Undirected,1608,1607,1610,"Richard Bancroft, 1607-10, by hand of Zachariah Pasfeild (30.5. Bancroft’s name is an addition to the list of archbishops on fol. 232y, art. 5)",True,True,True
Thomas Wilson,Caligula EIX,Undirected,1613,1612,1614,Thomas Wilson,False,True,True
James Ussher,Vespasian AI,Undirected,1625,1625,1625,"James Ussher, 1625, one of four psalters borrowed Gul. C.III, fol. 383).",True,True,True
William Camden,Titus BXIII,Undirected,1606,1606,1606,William Camden,True,True,True
Edward Coke,Titus AI,Undirected,1612,1611,1613,Edward Coke,False,True,True
Augustine Baker,Claudius DI,Undirected,1621,1621,,"Augustine Baker, after 1621 (6018, no. 307).",True,True,True
Bulstrode Whitelocke,Julius CIV,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (235.1)",True,True,True
John Selden,Caligula EI,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86).",True,True,True
Patrick Young,Otho AIX,Undirected,1616,1615,1617,"Patrick Young, ¢.1616 (49.30, 134.8)",True,True,True
St Lo Kniveton,Vespasian AV,Undirected,1615,,1615,"(of fols 3-92, art. I) St Lo Kniveton, by 1615 (16.5, 45.3).",True,True,True
John Selden,Titus EXIII,Undirected,1640,1639,1641,John Selden,True,True,True
unidentified borrower,Tiberius AVI,Undirected,1611,1611,,"unnamed borrower, possibly George Buc",True,True,False
William Watts,Nero DV,Undirected,1640,,1640,"William Watts, by 1640 (see the preface to his edition of Matthew Paris, Historia major (London, 1640), for which the manuscript was used).",True,True,True
Thomas Wilson,Otho EVII,Undirected,1617,,1617,"Wilson, by 1617 (111.15)",True,True,True
Francis Tate,Nero AI,Undirected,1617,,1617,Tate,True,True,True
Robert Bowyer,Claudius CIV,Undirected,1612,1611,1613,"Bowyer, ¢.1612 (13.5, 36.7),",True,True,True
William Camden,Tiberius AXIII,Undirected,1616,,1616,William Camden,True,True,True
John Selden,Galba BI,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I-XID)",True,True,True
Thomas Ham[p]son,Cleopatra CVII,Undirected,1640,1640,1640,"Thomas Ham[p]son, ? 1640 (193.1)",True,True,True
Richard Bancroft,Nero DII,Undirected,1608,1608,1608,Richard Bancroft,True,True,True
Simonds D’Ewes,Vitellius DII,Undirected,1626,1626,1626,"Simonds D’Ewes, 1626 (82.30: this or Claud. D.VI)",False,True,True
Abraham Wheloc,Otho BXI,Undirected,1639,1639,1639,"Abraham Wheloe, 1639 (190.2. In March 1640 Wheloc asked for a six-month extension of this loan: Jul. F.VI, fol. 128, art. 69. The manuscript was used by hinvin his Historiae ecclesiasticae gentis Anglorum (Cambridge, 1643): Ker, Catalogue of Anglo-Saxon MSS, no. 180.)",True,True,True
Henry Howard,Julius FVI,Undirected,1604,1604,,"Henry Howard, after Christmas 1604 (129.16: ? parts of this, Calig. B.IV, C.I-III, and IX)",True,True,True
Gerard Langbaine,Tiberius B1,Undirected,1655,1655,1655,Gerard Langbaine,True,True,True
Edward Herbert,Caligula DXI,Undirected,1636,1636,1636,"(of part of this and Calig. D.X) Edward Herbert, 1636 (117.7 and 119.2).",True,True,True
John Harington,Augustus I.II33,Undirected,1611,1610,1612,John Harington,True,True,True
George Abbot,Titus DI,Undirected,1611,1611,1611,George Abbot,False,True,True
Henry Howard,Caligula CI,Undirected,1604,1604,,"Henry Howard, after Christmas 1604 (129.16: ? parts of this, Jul. F.VI, Calig. B.IV, C.II-III, and IX).",False,True,True
Lord William Howard|Nicholas Roscarrock,Vespasian AVI,Undirected,1607,1607,,"Lord William Howard and Nicholas Roscarrock, 1607 or after (20.4: (1) this or Tit. A.I, or (2) Dom. XV)",False,True,True
Richard Bancroft,Faustina BI,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
Richard Bancroft,Nero AXVI,Undirected,1608,1608,1608,Bancroft,False,True,True
Robert Cecil,Caligula DX,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, c.1605-12 (12.1)",True,True,True
Bulstrode Whitelocke,Galba BVIII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.7)",True,True,True
John Selden,Caligula DVI,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)",True,True,True
Francis Tate,Tiberius CXI,Undirected,1614,1612,1616,Francis Tate,True,True,True
Francis Tate,Tiberius BIV,Undirected,1612,,1612,"(of at least fols 3-86, 88-90, art. 1, first part of art. 2, art. 3)",True,True,True
Henry Spelman,Claudius DII,Undirected,1615,1614,1616,Henry Spelman,False,True,True
John Selden,Galba BIV,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I-XI1)",True,True,True
Peter Balle,Cleopatra FII,Undirected,1640,1640,1640,"Peter Balle, 1640 (205.3)",True,True,True
