Id,Label,Note,Subjects,Subjects_Primary,Versification,_description,Macaronic,Author(s),Author confidence,Title(s),Bibliographic Ghosts,Type,n_witnesses
DIMEV 1435,Forty days after Christ was born was Candlemass Day,For another version see 957.,"Virgin Mary, Purification of",Virgin Mary,— two-line — aa,"‘Purificacio beate marie’, in some MSS of the South English Legendary",,,,South English Legendary; ‘Purificacio beate marie’,,Text,1
DIMEV 1479,Full fair flower is the lily,,"Virgin Mary, attributes of",Virgin Mary,— two-line — aa,The Virgin Mary the Lily with Five Leaves — twenty couplets,,,,The Virgin Mary the Lily with Five Leaves,,Text,1
DIMEV 1493,Gaude of virgins the freshest flower,,"Virgin Mary, joys of",Virgin Mary,— eight-line,‘Septem gaudia beate Marie’ — seven 8-line stanzas,,,,‘Septem gaudia beate Marie‘,,Text,2
DIMEV 1494,Gaude the Flower of Virginity,,hymns to Virgin Mary,Virgin Mary,— seven-line,‘Gaude Flore Virginali’ — seven 7-line stanzas,,,,‘Gaude Flore Virginali’,,Text,2
DIMEV 1628,Gods bower as thou gan build,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,"— nine-line, three-line — abababaab, aab","A prayer to the Virgin Mary — acephalous; last three lines of first (?) stanza, plus eight 9-line stanzas, abababaab",,,,,,Text,1
DIMEV 1671,Ground take in virtue by patriarchs old,,"Virgin Mary, praise of",Virgin Mary,— eight-line — ababbcbc,Lydgate’s ‘Letabundus’ — thirty-nine 8-line stanzas (ababbcbc),,John Lydgate,,‘Letabundus’,,Text,3
DIMEV 1681,Hail be glad and joy without end,,"Virgin Mary, joys of",Virgin Mary,— eight-line — ababbcbc,On the Seven Joys of the Virgin Mary in Heaven — ten 8-line stanzas (ababbcbc),,,,,,Text,1
DIMEV 1684,Hail be thou Lady so bright / Gabriel that said so right,,hymns to Virgin Mary,Virgin Mary,— six-line — aabaab,A hymn to the Virgin Mary — six 6-line stanzas (aabaab),,,,,,Text,1
DIMEV 1685,Hail be thou Mary Christs mother dear,"Stanzas 2, 3, 4 = stanzas 1, 8, and 11 of 1688.","Virgin Mary, salutation to",Virgin Mary,— four-line — aaaa,A salutation of the Virgin Mary — five monorhyming quatrains,,,,,,Text,1
DIMEV 1687,Hail be thou Mary maiden bright / Thou teach me the ways right,,"Virgin Mary, joys of",Virgin Mary,"— five-line, two-line, three-line, six-line — aaabb, aa, ababab","A Song of the Five Joys of the Virgin Mary, found in one MS of the Cursor Mundi (lines 25619-83) — 58 lines in stanzas of varying length",,,,Cursor Mundi,,Text,1
DIMEV 1688,Hail be thou Mary mild queen of heaven,"Stanzas 1, 8, and 11 = stanzas 2, 3, and 4 of 1685.","Virgin Mary, joys of",Virgin Mary,— four-line — aaaa,"An Orison of the Five Joys — fourteen monorhyming quatrains plus 1 x 8, abababab at end",,,,,,Text,4
DIMEV 1690,Hail be thou Mary mother and may / Mild and meek and merciable,,"Virgin Mary, salutation to",Virgin Mary,— twelve-line — abababababab,"‘A Salutacioun to vre lady’ — eleven 12-line stanzas (abababababab) with refrain, ‘Þou preye for vs to þi sone so fre Aue’",,,,Salutacioun to vre lady,,Text,1
DIMEV 1691,Hail be Thou Mary the mother of Christ,,hymns to Virgin Mary;hymns to Virgin Mary,Virgin Mary,— eight-line — ababbcbc,"Ave regina celorum — six 8-line stanzas (ababbcbc), each with Latin final line",Latin,,,Ave regina celorum,,Text,5
DIMEV 1692,Hail be Thou Queen of great honour,,"Virgin Mary, joys of",Virgin Mary,— four-line,"On the Seven Joys of the Virgin Mary in Heaven — eleven quatrains, preceded by a version in prose",,,,,,Text,1
DIMEV 1694,Hail be thou star of sea / Gods mother blessed you be,,hymns to Virgin Mary,Virgin Mary,— two-line — aa,Ave maris stella — seventeen couplets,,,,Ave maris stella,,Text,1
DIMEV 1697,Hail blessed Flower of virginity,,hymns to Virgin Mary;hymns to Virgin Mary,Virgin Mary,— two-line — aa,Ave Maria — one stanza and burden,,,,,,Text,1
DIMEV 1700,Hail blessed Mary,"The first two stanzas are nearly completely lost, and of the other lines only the ends remain. Nearly all the stanzas begin with the phrase ‘Heyll blessid Marie’.",hymns to Virgin Mary;hymns to Virgin Mary,Virgin Mary,— eight-line,"Fragment of a hymn to the Virgin Mary, (?on the Five Joys), in twelve 8-line stanzas; in the school of Lydgate",,,,,,Text,1
DIMEV 1701,Hail boot of bale blessed Queen,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,Orison to the Virgin Mary — 320 lines in couplets,,,,,,Text,1
DIMEV 1704,Hail comely creature courteous of kind,,hymns to Virgin Mary,Virgin Mary,"— four-line, two-line — abab, aa","Salve Regina — eight quatrains, followed by concluding rubric couplet",,,,Salve Regina,,Text,1
DIMEV 1705,Hail fairest that ever God found,For a similar version by John Audelay see 2909.,"Virgin Mary, salutation to",Virgin Mary,— twelve-line — ababababcdcd,‘A salutacion of oure Lady’ — seven l2-line stanzas (ababababcdccd),,,,‘A salutacion of oure Lady’,,Text,2
DIMEV 1707,Hail Flower of virginity,,hymns to Virgin Mary,Virgin Mary,— six-line — aabaab,"Hymn to the Virgin, ‘more in dygnyte þan all seyntes’ — one 6-line tail-rhyme stanza",,,,,,Text,1
DIMEV 1711,Hail glad and glorious,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— irregular,‘Ane deuoit orisoun To oure Lady the Virgin Mary Callit Aue Gloriosa’ — ninety-three lines in irregular stanzas,,,,‘Ane deuoit orisoun To oure Lady the Virgin Mary Callit Aue Gloriosa’,,Text,1
DIMEV 1712,Hail glorious Lady and heavenly queen,First 7 stanzas have ‘c’ lines in Latin; final stanza English as conclusion.,"Virgin Mary, salutation to;hymns to Virgin Mary",Virgin Mary,— eight-line — ababbcbc,"John Lydgate, ‘Salutacio Angelica’ — eight 8-line stanzas (ababbcbc)",Latin,John Lydgate,,‘Salutacio Angelica’,,Text,3
DIMEV 1713,Hail glorious Virgin ground of all our grace,,"hymns to Virgin Mary;Virgin Mary, joys of",Virgin Mary,— eight-line — ababbcbc,"A hymn on the Five Joys, ascribed to an anchoress of Maunsfeld by Shirley (1713-1, Oxford, Bodleian Library Ashmole 59 (SC 6943)) and to Lydgate by Stow (1713-3, London, British Library Addit. 29729) — five 8-line stanzas",,John Lydgate,attributed,,,Text,3
DIMEV 1714,Hail God Ye shield Mother Holy King bear mild,"Possibly 9 lines, continuing with 400.","Virgin Mary, salutation to",Virgin Mary,— six-line — medial,A salutation of the Virgin Mary — six long lines with medial rime,,,,,,Text,1
DIMEV 1715,Hail Gods Mother dolorous,,"Virgin Mary, sorrows of",Virgin Mary,— four-line — abab,"‘Stabat mater dolorosa’ — twenty-one quatrains, all stanzas but the first begin with ‘""O’",,,,‘Stabat mater dolorosa’,,Text,1
DIMEV 1723,Hail Lady sea-star bright,,hymns to Virgin Mary,Virgin Mary,— two-line — aa,"William Herebert, ‘Ave maris stella’ — thirteen couplets",,William Herebert,,‘Ave maris stella’,,Text,1
DIMEV 1724,Hail lovely Lady leman so light,,hymns to Virgin Mary,Virgin Mary,— eight-line — ababbcbc,‘Salue sancta parens’ — seven 8-line stanzas with this refrain,,,,,,Text,1
DIMEV 1725,Hail luminary and benign lantern,,hymns to Virgin Mary,Virgin Mary,— eight-line — ababbcbc,"John Lydgate, ‘Ave regina celorum’ — six 8-line stanzas (ababbcbc) with this refrain",Latin,John Lydgate,,‘Ave regina celorum’,,Text,2
DIMEV 1728,Hail Maiden of Maidens through word conceiving,,hymns to Virgin Mary,Virgin Mary,— four-line — aabb,Hymn based on the Angelic Salutation — seventeen long quatrains,,,,,,Text,1
DIMEV 1729,Hail Maiden over Maidens eachone / Mother withouten peer,See 1726.,hymns to Virgin Mary,Virgin Mary,— eight-line — ababcdcd,"Psalterium beate Marie, a translation of Albertus Magnus — 161 8-line stanzas with Latin introductions to each",,Albertus Magnus,,Psalterium beate Marie,,Text,1
DIMEV 1730,Hail Mary and well Thou be,,"Virgin Mary, salutation to;hymns to Virgin Mary",Virgin Mary,— ten-line — ababcbcbdd,A hymn on the Angelic Salutation — ten lines in John Grimestone’s sermon notebook,,,,,,Text,1
DIMEV 1731,Hail Mary full of grace / God is with Thee in every place,,hymns to Virgin Mary,Virgin Mary,— two-line — aa,Ave Maria — two couplets,,,,Ave Maria,,Text,3
DIMEV 1732,Hail Mary full of grace / Of Thy body come He,,hymns to Virgin Mary,Virgin Mary,— ten-line,Ave Maria — nine 10-line stanzas with a word of the Latin Salutation at the head of each,,,,Ave Maria,,Text,1
DIMEV 1733,Hail Mary full of win,,hymns to Virgin Mary,Virgin Mary,— four-line — aaaa,Ave Maria — four monorhyming lines,,,,Ave Maria,,Text,1
DIMEV 1734,Hail Mary Gods Mother full of grace,,hymns to Virgin Mary,Virgin Mary,— monorhyme — aaaaa,Ave Maria — five monorhyming lines,,,,Ave Maria,,Text,1
DIMEV 1736,Hail Mary of grace I-filled,,hymns to Virgin Mary,Virgin Mary,— two-line — aa,Ave Maria — three couplets,,,,Ave Maria,,Text,1
DIMEV 1737,Hail Mary to Thee I say,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— ten-line — ababbcbcdd,"John Audelay, An orison to the Virgin Mary — 177 lines, chiefly in 10-line stanzas, each line beginning ‘Hayle’ or ‘0 Ihesu’",,John Audelay,,,,Text,1
DIMEV 1738,Hail Mary Virgin so full of grace,,hymns to Virgin Mary,Virgin Mary,— seven-line — ababbcc,Ave Maria — one stanza rhyme royal,,,,Ave Maria,,Text,1
DIMEV 1739,Hail Mary well Thee be,,hymns to Virgin Mary,Virgin Mary,— two-line — aa,Ave Maria — two couplets inserted in the Speculum Sacerdotale,,,,Ave Maria; Speculum Sacerdotale,,Text,2
DIMEV 1740,Hail Mary whose conception,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— irregular,‘Ane devoit orisoun till our Lady callit Aue cuius concepcio’ — twenty-two irregular lines,,,,‘Ane devoit orisoun till our Lady callit Aue cuius concepcio’,,Text,1
DIMEV 1745,Hail our patron and Lady of the earth,,hymns to Virgin Mary,Virgin Mary,— eight-line — ababbcbc,Salue regina — five 8-line stanzas (ababbcbc),,,,Salue regina,,Text,1
DIMEV 1746,Hail perfect throne of Solomon,,hymns to Virgin Mary,Virgin Mary,— four-line — aaab,"James Ryman, A hymn to the Virgin Mary — twelve quatrains (aaab) with refrain, ‘Dei genitrix pia’ and burden: ‘Sancta virgo maria / Dei genitrix pia’",Latin,James Ryman,,,,Text,1
DIMEV 1748,Hail Queen bliss of great honor,May be a continuation of 1708 which precedes.,hymns to Virgin Mary,Virgin Mary,— seven-line — ababbcc,"James Ryman, Salue regina — three stanzas rhyme royal",,James Ryman,,Salue regina,,Text,1
DIMEV 1749,Hail Queen of heaven and stern of bliss,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 515.","Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— four-line — aabb,A prayer to the Virgin Mary — two quatrains (aabb),,,,,,Text,1
DIMEV 1752,Hail sea-stern Gods Mother holy,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,Ave maris stella — nine couplets,,,,Ave maris stella,,Text,1
DIMEV 1753,Hail spouse of Christ our Saviour,,hymns to Virgin Mary,Virgin Mary,— four-line — aaab,"James Ryman, Gaude mater gloriosa — six quatrains (aaab) with refrain, ‘Super omnes speciosa’ and burden: ‘Gaude mater gloriosa / Super omnes speciosa’",Latin,James Ryman,,,,Text,1
DIMEV 1754,Hail star of the sea so bright / Thou grant us to been our guide,,hymns to Virgin Mary,Virgin Mary,— twelve-line — ababababcdcd,"Ave maris stella (cf. Daniel (1841) XDaniel, Hermann Adalbert. Thesaurus Hymnologicus sive canticorum sequentiarum circa annum MD usitatarum collectio amplissima. 5 vols. in 4. Halis, 1841-56, 1.204) — fourteen 12-line stanzas, with Latin verse couplet before each pair of stanzas",,,,Ave maris stella,,Text,2
DIMEV 1755,Hail stern on the sea so bright,,hymns to Virgin Mary,Virgin Mary,— four-line — aaaa,‘Ave maris stella dei mater alma’ — seven monorhyming quatrains,,,,‘Ave maris stella dei mater alma’,,Text,1
DIMEV 1756,Hail stern supern hail in eterne,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 516.",hymns to Virgin Mary,Virgin Mary,— twelve-line — ababababcbab,"William Dunbar, ‘Ane ballat of Our Lady’ — seven aureate 12-line stanzas (ababababcbab) with Latin bob: ‘Aue Maria Gratia plena’",Latin,William Dunbar,,‘Ane ballat of Our Lady’,,Text,1
DIMEV 1757,Hail Thee fairest there ever God found,For a very similar piece see 1705.,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— twelve-line — ababababbcbc,"John Audelay, ‘Oracio de sancta Maria virgine’ — ten 12-line stanzas, with ‘Haile’ anaphora",,John Audelay,,‘Oracio de sancta Maria virgine’,,Text,1
DIMEV 1767,Harken all good men if ye been wise and sly,This text is a later recension of 2165.,"Virgin Mary, assumption of",Virgin Mary,— two-line — aa,"The Assumption of the Virgin Mary, in one MS of the South English Legendary — 364 long lines in couplets",,,,South English Legendary,,Text,1
DIMEV 1806,Have joy Mary Mother and Maid / As the Angel Gabriel message to thee said,,"Virgin Mary, joys of",Virgin Mary,— six-line — aabccb,‘þe fyue Ioyes of vr ladi’ — six 6-line stanzas,,,,fyue Ioyes of vr lad,,Text,1
DIMEV 2045,Holy Mother that bore Christ buyer of mankind,,hymns to Virgin Mary,Virgin Mary,— irregular — abcbdbeebfgfg,"William Herebert, ‘Alma redemptoris mater’ — eleven lines",,William Herebert,,‘Alma redemptoris mater’,,Text,1
DIMEV 2063,Honoured be Thou blissful Lord benign,,"Virgin Mary, nativity of",Virgin Mary,— seven-line — ababbcc,"Thomas Hoccleve, Song of the Nativity of the Virgin Mary, in the English translation of the Pèlerinage de l’âme — seven stanzas rhyme royal",,Thomas Hoccleve,,Song of the Nativity of the Virgin Mary; Pèlerinage de l’âme,,Text,10
DIMEV 2068,Honoured be thou Lord of might,,"Virgin Mary, assumption of",Virgin Mary,— seven-line — ababbcc,Song at the Assumption: poem occurring only in this MS of the English translation of the Pèlerinage l’âme — five stanzas rhyme royal,,,,Pèlerinage l’âme,,Text,1
DIMEV 2134,I ask this soul for to win,,"Virgin Mary, aid to salvation;Virgin Mary, miracles of",Virgin Mary,— two-line — aa,"Verses in a Latin miraculum beatae Mariae — sixteen lines in couplets, interspersed in Latin prose",,,,,,Text,1
DIMEV 2187,I have now set my heart so high,,"Virgin Mary, songs in honour of",Virgin Mary,— twelve-line — ababababbcbc,A song of love to the Virgin Mary — two 12-line stanzas (ababababbcbc),,,,,,Text,1
DIMEV 2246,I pray you lady Mary dear,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,‘Ane orisoun to our Lady callit Obsecro’ — sixty-one couplets,,,,‘Ane orisoun to our Lady callit Obsecro’,,Text,2
DIMEV 2341,I-blessed be thou lady full of heaven bliss,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— four-line — aaaa,An orison to the Virgin Mary — five monorhyming quatrains,,,,,,Text,2
DIMEV 2445,In a dream late as I lay,,Virgin Mary,Virgin Mary,— six-line — aabccb,On the Virgin Mother — two 6-line stanzas with a lullaby burden: ‘[By by lullaby] rockyd I my chyld / [by by by] lullaby rockyd i my child’,,,,,,Text,0
DIMEV 2470,In all this world is none so true,,Virgin Mary,Virgin Mary,— two-line — aa,A single couplet on the Virgin,,,,,,Text,1
DIMEV 2974,Joy blessed Lady with pure virginal flower,,"Virgin Mary, songs in honour of",Virgin Mary,— seven-line — ababbcc,"Gaude flore virginali — eight stanzas rhyme royal, each preceded by a Latin line, the first seven of which being with the word gaude",Latin,,,Gaude flore virginali,,Text,1
DIMEV 2975,Joy thou Mary with virgin flowers,,"Virgin Mary, songs in honour of",Virgin Mary,— four-line,"Gaude flore virginali — 28 lines, mainly in quatrains",,,,Gaude flore virginali,,Text,1
DIMEV 2976,Joy Thou Virgin as it is right,,"Virgin Mary, songs in honour of",Virgin Mary,— four-line,Gaude virgo mater — five quatrains,,,,Gaude virgo mater,,Text,1
DIMEV 3019,Lady for their bliss,,"Virgin Mary, joys of",Virgin Mary,— eight-line — abababab,On the Five Joys of the Virgin Mary — seven 8-line stanzas,,,,On the Five Joys of the Virgin Mary,,Text,1
DIMEV 3020,Lady for these joys seven,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— four-line — abab,A simple prayer to the Virgin — a quatrain concluding 758,,,,,,Text,1
DIMEV 3022,Lady hallowed in Gods laws,,"Virgin Mary, marriage of",Virgin Mary,— two-line — aa,‘A tretys of oure ladye howe sche was wedded’ — 1678 lines in couplets,,,,‘A tretys of oure ladye howe sche was wedded’,,Text,1
DIMEV 3023,Lady I thank Thee with heart swith mild,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,A prayer to the Virgin Mary — eight long lines in couplets with medial rhyme,,,,,,Text,1
DIMEV 3024,Lady Mary maiden sweet / That art so good fair and free,"An adaptation as a prayer by the Five Joys of 2818, a prayer to Christ by the Five Wounds.","Virgin Mary, prayers to;Virgin Mary, joys of;Virgin Mary, prayers to",Virgin Mary,,An Orison to the Virgin Mary — eight lines,,,,An Orison to the Virgin Mary,,Text,1
DIMEV 3029,Lady Saint Mary mother and maid,,hymns to Virgin Mary;hymns to Virgin Mary,Virgin Mary,"— four-line, monorhyme — aaaa",A hymn to the Virgin Mary — eleven monorhyming quatrains,,,,,,Text,1
DIMEV 3138,Little wot it any man how true love bi-standeth,For a similar piece on the love of Christ see 3137; for another piece on the love of women see 3136.,"Virgin Mary, love of",Virgin Mary,,A song of the love of Our Lady — one stanza only,,,,,,Text,1
DIMEV 3323,Maid and mother mild / for love of thine child,Compare 3330.,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— six-line — aabccb,A prayer to the Virgin Mary — one 6-line stanza (aabccb) at the conclusion of the Aȝenbite,,,,Aȝenbite of Inwit,,Text,1
DIMEV 3329,Maiden Mother and comely Queen / That art in heaven and ever shall been,,"Virgin Mary, salutation to",Virgin Mary,— six-line — aabccb,‘A salutacioun to vre ladi’ — sixty-eight 6-line stanza,,,,‘A salutacioun to vre ladi’,,Text,1
DIMEV 3330,Maiden mother mild / oeiz cel oreysoun,Compare 3323.,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,"— eight-line, four-line — abababab, aaaa","An orison to the Virgin Mary — six monorhyming stanzas with medial rhyme, in English and French",French,,,,,Text,2
DIMEV 3411,Mary blissful maid,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— four-line,A simple prayer to the Virgin Mary — one quatrain,,,,,,Text,1
DIMEV 3414,Mary for Thine joys five / Teach me the way to right live,,"Virgin Mary, joys of;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,A popular prayer tag — a single couplet,,,,,,Text,2
DIMEV 3415,Mary full of grace well thee be,,"Virgin Mary, salutation to",Virgin Mary,— four-line — aaaa,The Angelic Salutation — four monorhyming lines,,,,,,Text,1
DIMEV 3416,Mary Gods mother dear,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— six-line — aabccb,To Our Lady — one 6-line stanza (aabccb),,,,,,Text,1
DIMEV 3419,Mary Jesu mother dear,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,A prayer to the Virgin Mary — twenty-two couplets,,,,,,Text,1
DIMEV 3420,Mary maid mild and free,,hymns to Virgin Mary,Virgin Mary,— six-line — aaabab,Hymn to the Virgin Mary by William of Shoreham — fourteen 6-line stanzas (aaabab),,William of Shoreham,,,,Text,1
DIMEV 3421,Mary Maiden Mother mild / That blissful Bairn in bosom bear,,Virgin Mary,Virgin Mary,— eight-line — ababbcbc,"Maiden Mary and her Fleur-de-Lys — seventeen 8-line stanzas, ababbcbc, with refrain, ‘þe fflourdelys’",,,,Maiden Mary and her Fleur-de-Lys,,Text,2
DIMEV 3423,Mary Mother and Maiden Ever well thee be,An expansion into long lines of 3433.,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,"— four-line, six-line — aabb, aabbcc","‘A preiere to vre ladi’ — fifty-two lines in mixed quatrtains, aabb, and 6-line stanzas, aabbcc; written in half-lines",,,,A preiere to vre ladi,,Text,1
DIMEV 3426,Mary mother maiden bright,Immediately follows 3433.,hymns to Virgin Mary;hymns to Virgin Mary,Virgin Mary,,Hymn to the Virgin,,,,,,Text,1
DIMEV 3430,Mary Mother Queen of heaven / Think on me and hear my steven,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,A prayer to the Virgin Mary — seventeen couplets,,,,,,Text,2
DIMEV 3431,Mary mother well thee be,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,"Six English lines interspersed among nine Latin lines: 5 then 4 rhyming Latin lines, then 1 English, then 5 Latin lines",,,,,,Text,1
DIMEV 3432,Mary Mother well Thee be / Mother and Maiden think on me,,"Virgin Mary, joys of;Virgin Mary, prayers to",Virgin Mary,— six-line — aabccb,‘An Orisoun to þe fyue Ioyes of vre lady’ — eight 6-line stanzas,,,,‘An Orisoun to þe fyue Ioyes of vre lady’,,Text,5
DIMEV 3433,Mary mother well thou be / Mary maiden think on me,For an expansion into long lines see 3423.,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,An orison to the Virgin Mary in the Speculum Christiani (Octaua Tabula) — twenty-seven couplets,,,,Speculum Christiani (Octaua Tabula),,Text,55
DIMEV 3434,Mary of help both day and night / I pray thee…,Followed directly by 3433.,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— four-line,An Orison to the Virgin Mary — eight quatrains,,,,,,Text,1
DIMEV 3435,Mary so free,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,A prayer tag to the Virgin — one couplet,,,,,,Text,1
DIMEV 3437,Mary so mild / For love of Thy child,Immediately preceded by 4432; compare 3323.,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,,An orison to the Virgin Mary — eight short lines,,,,,,Text,1
DIMEV 3439,Mary thou were greet with lovely cheer,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— four-line — aaaa,To the Virgin — four monorhyming quatrains,,,,,,Text,1
DIMEV 3441,Mary you queen you mother maiden bright,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— two-line — aa,A prayer to the Virgin Mary — two couplets,,,,,,Text,1
DIMEV 3484,Mercy Mary maiden clean,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— four-line,A simple prayer to the Virgin Mary — one quatrain,,,,,,Text,1
DIMEV 3495,Might wisdom goodness of the Trinity / My naked soul…,St. 1 = st. 1 of 5254.,hymns to Virgin Mary;hymns to Virgin Mary,Virgin Mary,— eight-line,Hymn to the Virgin Mary — twenty three 8-line stanzas with refrain: ‘O florum flos O flos pulcherime’,,,,,,Text,2
DIMEV 3496,Mightful Mary I-crowned queen,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— eight-line,An Orison to the Virgin — nine 8-line stanzas,,,,,,Text,1
DIMEV 3525,Miserere miseres welle ful of grace,,"Virgin Mary, prayers to;Virgin Mary, prayers to;Virgin Mary, aid to salvation",Virgin Mary,— two-line — aa,A prayer to the Virgin Mary asking for aid — two macaronic couplets,Latin,,,,,Text,1
DIMEV 3545,Most glorious queen reigning in heaven,,hymns to Virgin Mary,Virgin Mary,— seven-line — ababbcc,A hymn to the Virgin Mary — three stanzas rhyme royal,,,,,,Text,1
DIMEV 3552,Most mightful mirror of high magnificence,,"Virgin Mary, praise of;Virgin Mary, prayers to",Virgin Mary,,"Praise of the Virgin Mary, with refrain, ‘Aue domyna sancta maryia’ — twenty-eight lines",,,,,,Text,1
DIMEV 3567,Mother mild flower of all,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— eight-line — abababab,A prayer to the Virgin Mary — three 8-line stanzas,,,,,,Text,1
DIMEV 3568,Mother of God and Virgin undefouled,Perhaps originally a triad of twenty-one stanzas.,hymns to Virgin Mary,Virgin Mary,— seven-line — ababbcc,"‘Mother of God’, attributed to Hoccleve — twenty stanzas rhyme royal",,Thomas Hoccleve,attributed,Mother of God,,Text,3
DIMEV 3569,Mother of life o cause of all our wealth,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— eight-line — ababbcbc,A prayer to the Virgin Mary by Hoccleve — fifteen 8-line stanzas,,Thomas Hoccleve,,,,Text,1
DIMEV 3576,Much is that me singeth and readeth,,"Virgin Mary, joys of",Virgin Mary,— six-line,"The Five Joys of the Virgin Mary, by William of Shoreham — fifty-nine 6-line stanzas",,William of Shoreham,,The Five Joys of the Virgin Mary,,Text,1
DIMEV 3747,Now has Mary born a flower,,"Virgin Mary, songs in honour of;hymns to Virgin Mary",Virgin Mary,,Song to the Virgin Mary — two fragmentary stanzas,,,,,,Text,1
DIMEV 3790,Now Our Lady Mary for the joys five,,"Virgin Mary, prayers to;Virgin Mary, joys of;Virgin Mary, prayers to",Virgin Mary,— seven-line — ababbcc,An orison to the Virgin Mary by the Five Joys — one stanza rhyme royal,,,,,,Text,1
DIMEV 3797,Now shrinketh rose and lily flower,,"Virgin Mary, songs in honour of",Virgin Mary,— ten-line — aabaabcbcb,An autumn song in praise of the Virgin Mary — six 10-line stanzas,,,,,,Text,1
DIMEV 3846,O blessed maid flower of all goodness,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,,"John Lydgate, a prayer to the Virgin Mary inserted by Lydgate in his translation of Deguileville’s Pèlerinage de la Vie Humaine — four 8-line stanzas",,John Lydgate;Guillaume Deguileville,,Pèlerinage de la Vie Humaine,,Text,1
DIMEV 3847,O blessed maid mother and wife,,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— four-line — aaab,"James Ryman, an orison to the Virgin Mary — five quatrains (aaab) with refrain, ‘Ora pro nobis dominum’ and burden: ‘Cum sola sis spes hominum / Ora pro nobis dominum’",Latin,James Ryman,,,,Text,1
DIMEV 3848,O blessed Mary the flower of virginity,,"Virgin Mary, salutation to",Virgin Mary,— seven-line — ababbcc,A salutation to the Virgin Mary — six stanzas rhyme royal,,,,,,Text,1
DIMEV 3850,O blessed Queen about the starred heaven,For a similar piece see 5826.,"Virgin Mary, prayers to;Virgin Mary, prayers to",Virgin Mary,— eight-line — ababbcbc,"?John Lydgate, ‘Stella celi extirpauit’, perhaps by Lydgate — four 8-line stanzas (ababbcbc)",,John Lydgate,uncertain,‘Stella celi extirpauit’,,Text,1
DIMEV 3859,O closed gate of Ezekiel,For a very similar hymn see 3860.,hymns to Virgin Mary,Virgin Mary,— four-line — aabb,"James Ryman, a hymn to the Virgin Mary — eight quatrains (aabb) with refrain ‘for vs thou pray vnto thy childe’, and burden: ‘O quene of grace O mary myelde / ffor vs thou pray vnto thy childe’",,James Ryman,,,,Text,1
DIMEV 3860,O closed gate of Ezekiel,See 3859.,hymns to Virgin Mary,Virgin Mary,— four-line — aaab,"James Ryman, a hymn to the Virgin Mary — eight quatrains with refrain ‘Of thy conforte lete vs not mys’, and burden: ‘O Virgyne marie quene of blis / Of thy conforte lete vs not mys’",,James Ryman,,,,Text,1
